###################################################################################################
#                                                                                     3.5.5-Miranda
#          
#......................................................................../  022-047Ti //   3.500000
#                                                                                 SYSTEM PARAMETERS
#            AtomicNum    MassNum
#    Target         22         47
#  Incident          1          2
#            Ecms[MeV]  Elab[MeV] ReduceMass WaveNumber
 25  2.6823    5.5-                          9.5083e-10                       2.1000e-12
                       15  2.4062     0.0097               0.2761 9.2173e-12
                        4  1.4443     0.2978               1.2381 2.8313e-10
                        3  1.2521     0.6925               1.4302 6.5836e-10
 24  2.6680    6.5+                          7.8915e-10                       2.1000e-14
                        4  1.4443     1.0000               1.2238 7.8907e-10
 23  2.6194    3.5-                          7.9178e-09                       2.9000e-14
                       10  2.1667     0.0196               0.4527 1.5514e-10
                        3  1.2521     0.0726               1.3673 5.7470e-10
                        1  0.1594     0.7262               2.4600 5.7470e-09
                        0  0.0000     0.1816               2.6194 1.4370e-09
 22  2.5996    3.5-                          1.2400e-08                       1.3000e-12
                        8  1.8250     0.1298               0.7746 1.6094e-09
                        1  0.1594     0.3894               2.4402 4.8262e-09
                        0  0.0000     0.4808               2.5996 5.9586e-09
 21  2.5729    0.5+                          7.4236e-09                       5.3000e-13
                        8  1.8250     0.2701               0.7479 2.0046e-09
                        5  1.5496     0.7299               1.0233 5.4182e-09
 20  2.5482    1.5-                          2.5248e-08                       6.2000e-15
                        0  0.0000     1.0000               2.5482 2.5235e-08
 19  2.5258    2.5-                          5.4725e-08                       9.4000e-14
                        1  0.1594     0.4898               2.3664 2.6792e-08
                        0  0.0000     0.5102               2.5258 2.7905e-08
 18  2.5200    0.5+                          2.1387e-08
                        2  1.2507     0.2500               1.2693 5.3467e-09
                        5  1.5496     0.2500               0.9704 5.3467e-09
                        7  1.7938     0.2500               0.7262 5.3467e-09
                        9  2.1632     0.2500               0.3568 5.3467e-09
 17  2.4994    2.5+                          8.7629e-08
                        0  0.0000     1.0000               2.4994 8.7544e-08
 16  2.4163    3.5-                          3.8379e-07                       1.0000e-12
                        8  1.8250     0.4310               0.5913 1.6538e-07
                        5  1.5496     0.2284               0.8667 8.7641e-08
                        0  0.0000     0.3406               2.4163 1.3065e-07
 15  2.4062    4.5-                          3.8788e-07                       2.3000e-14
                        4  1.4443     0.0886               0.9620 3.4358e-08
                        3  1.2521     0.1898               1.1541 7.3613e-08
                        1  0.1594     0.6330               2.2468 2.4542e-07
                        0  0.0000     0.0886               2.4062 3.4355e-08
 14  2.3649    0.5+                          2.8214e-07                       1.5300e-12
                        8  1.8250     1.0000               0.5399 2.8194e-07
 13  2.3440    3.5+                          1.1481e-06
                        0  0.0000     0.2000               2.3440 2.2963e-07
                        1  0.1594     0.2000               2.1846 2.2963e-07
                        3  1.2521     0.2000               1.0919 2.2963e-07
                       10  2.1667     0.2000               0.1773 2.2963e-07
                       12  2.2971     0.2000               0.0469 2.2963e-07
 12  2.2971    2.5-                          2.2795e-06                       1.0000e-14
                        1  0.1594     0.2187               2.1377 4.9835e-07
                        0  0.0000     0.7813               2.2971 1.7802e-06
 11  2.2595    2.5+                          3.2376e-06                       5.4000e-13
                        1  0.1594     0.1803               2.1001 5.8333e-07
                        0  0.0000     0.8197               2.2595 2.6517e-06
 10  2.1667    2.5-                          9.9657e-06                       1.9000e-14
                        1  0.1594     1.0000               2.0073 9.9626e-06
  9  2.1632    1.5-                          7.2502e-06                       2.5100e-14
                        1  0.1594     0.0512               2.0038 3.7129e-07
                        0  0.0000     0.9488               2.1632 6.8764e-06
  8  1.8250    2.5+                          1.9758e-04                       2.1000e-12
                        0  0.0000     1.0000               1.8250 1.9748e-04
  7  1.7938    0.5-                          8.8670e-05                       1.7000e-12
                        5  1.5496     0.3298               0.2442 2.9165e-05
                        0  0.0000     0.6702               1.7938 5.9412e-05
  6  1.6700    0.5+                          2.0082e-04
                        2  1.2507     0.5000               0.4193 1.0041e-04
                        5  1.5496     0.5000               0.1203 1.0041e-04
  5  1.5496    1.5-                          9.4959e-04                       1.5000e-12
                        1  0.1594     0.5438               1.3903 5.1633e-04
                        0  0.0000     0.4562               1.5496 4.3315e-04
  4  1.4443    5.5-                          1.2063e-03                       9.0000e-13
                        3  1.2521     0.0586               0.1922 7.0407e-05
                        1  0.1594     0.9414               1.2849 1.1355e-03
  3  1.2521    4.5-                          4.3546e-03                       1.4000e-13
                        1  0.1594     0.9434               1.0927 4.1078e-03
                        0  0.0000     0.0566               1.2521 2.4645e-04
  2  1.2507    1.5-                          3.5279e-03
                        0  0.0000     1.0000               1.2507 3.5279e-03
  1  0.1594    3.5-                          1.0007e-01                       2.1000e-10
                        0  0.0000     1.0000               0.1594 9.9620e-02
  0  0.0000    2.5-                          2.2977e-01                       1.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            022-047Ti      gamma
 SpcSum[mb]            6.8953e-02
 Emean[MeV]            2.0000e-01
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           1 1 0 0 0 0             022-047Ti
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
  1  0.1594    3.5-                          6.9264e-02                       2.1000e-10
                        0  0.0000     1.0000               0.1594 6.8953e-02
  0  0.0000    2.5-                          5.1046e-01                       1.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            021-047Sc      gamma
 SpcSum[mb]            1.4669e-24
 Emean[MeV]            7.9995e-01
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 2 0 0 0 0             021-047Sc
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
  2  0.8079    1.5-                          9.8609e-26                       1.5000e-11
                        1  0.7668     0.0013               0.0411 9.0575e-29
                        0  0.0000     0.9987               0.8079 9.8465e-26
  1  0.7668    1.5+                          1.3688e-24                       2.7200e-07
                        0  0.0000     1.0000               0.7668 1.3684e-24
  0  0.0000    3.5-                          1.5046e-11                       2.8940e+05
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            020-044Ca      gamma
 SpcSum[mb]            4.5281e-16
 Emean[MeV]            1.2000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 1 1 0 0 0             020-044Ca
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
  2  1.8835    0.0+                          6.6524e-27                       1.4000e-11
                        1  1.1570     1.0000               0.7265 6.6510e-27
                        0  0.0000     0.0000               1.8835 0.0000e+00
  1  1.1570    2.0+                          4.5285e-16                       2.7100e-12
                        0  0.0000     1.0000               1.1570 4.5281e-16
  0  0.0000    0.0+                          6.4882e-09                       1.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                          SUM SPECTRA FOR COMPOUND
#            019-041K       gamma
 SpcSum[mb]            0.0000e+00
 Emean[MeV]            0.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                   GAMMAS FROM DISCRETE TRANSITION
#           0 0 2 0 0 0             019-041K 
#   Ex[MeV]     Jpi    FinalState  Branching Production    Egamma Production   T(1/2)[s]
  0  0.0000    1.5+                          0.0000e+00
#......................................................................../  022-047Ti //   3.500000
#                                                                INDIVIDUAL GROUND STATE PRODUCTION
#             Residual  Prod.[mb]  Qval[MeV]   Particles
#                                              n p a d t h
 Production  023-049V  4.6023e-02   16.16039   0 0 0 0 0 0
 Production  023-048V  1.6559e+02    4.60478   1 0 0 0 0 0
 Production  022-048Ti 9.8191e+01    9.40214   0 1 0 0 0 0
 Production  021-045Sc 1.3569e+01    6.84570   0 0 1 0 0 0
 Production  022-047Ti 2.2977e-01    0.00000   0 0 0 1 0 0
 Production  022-047Ti 5.1046e-01   -2.22463   1 1 0 0 0 0
 Production  021-047Sc 1.5046e-11   -2.04300   0 2 0 0 0 0
 Production  020-044Ca 6.4882e-09   -0.04586   0 1 1 0 0 0
                   sum 2.7813e+02
#......................................................................../  022-047Ti //   3.500000
#                                                           STABLE AND LONG-LIVED STATE PRODUCTIONS
#       Residual    Ex[MeV]     Jpi     T(1/2)[s]  Prod.[mb] Meta
    1  019-041K     0.00000    1.5+    1.0000e+00 0.0000e+00
    2  020-044Ca    0.00000    0.0+    1.0000e+00 6.4882e-09
    3  021-045Sc    0.00000    3.5-    1.0000e+00 1.3569e+01
    4  021-045Sc    0.01240    1.5+    3.1800e-01 5.9311e+00    1
    5  021-047Sc    0.00000    3.5-    2.8940e+05 1.5046e-11
    6  022-047Ti    0.00000    2.5-    1.0000e+00 7.4022e-01
    7  022-048Ti    0.00000    0.0+    1.0000e+00 9.8191e+01
    8  022-048Ti    3.63300    2.0+    1.0300e+01 2.0693e+00    1
    9  023-048V     0.00000    4.0+    1.3800e+06 1.6559e+02
   10  023-049V     0.00000    3.5-    2.8510e+07 4.6023e-02
#                                         g.s.sum 2.7813e+02


#......................................................................../  022-047Ti //   3.500000
#                                                                                   ISOMERIC RATIOS
#       Residual    Ex[MeV]     Jpi     T(1/2)[s] Ratio      m/(g-m)
    1  021-045Sc    0.01240    1.5+    3.1800e-01 4.3711e-01 7.7655e-01
    2  022-048Ti    3.63300    2.0+    1.0300e+01 2.1074e-02 2.1528e-02


#......................................................................../  022-047Ti //   3.500000
#                                                                               PARTICLE PRODUCTION
#             Particle  Prod.[mb] Multiplic. Emean[MeV]
 ParticlPrd      gamma 8.8994e+02 3.1997e+00 1.7660e+00
 ParticlPrd    neutron 1.6610e+02 5.9719e-01 2.7407e+00
 ParticlPrd     proton 9.8702e+01 3.5487e-01 5.8352e+00
 ParticlPrd      alpha 1.3569e+01 4.8785e-02 7.8549e+00
 ParticlPrd   deuteron 2.2977e-01 8.2610e-04 3.2567e+00


